beat,stops,success,yield,contraband_discoveries
722,4,2,0.5,2
313,4,0,0.0,0
242,3,0,0.0,0
241,3,0,0.0,0
822,3,0,0.0,0
611,2,1,0.5,1
524,2,1,0.5,1
614,2,1,0.5,1
623,2,0,0.0,0
838,2,0,0.0,0
712,2,0,0.0,0
834,2,0,0.0,0
512,2,0,0.0,0
813,2,0,0.0,0
446,2,0,0.0,0
315,2,0,0.0,0
114,2,0,0.0,0
121,1,1,1.0,1
931,1,0,0.0,0
713,1,0,0.0,0
625,1,0,0.0,0
124,1,0,0.0,0
322,1,0,0.0,0
511,1,0,0.0,0
115,1,0,0.0,0
613,1,0,0.0,0
234,1,0,0.0,0
723,1,0,0.0,0
839,1,0,0.0,0
541,1,0,0.0,0
529,1,0,0.0,0
826,1,0,0.0,0
531,1,0,0.0,0
937,1,0,0.0,0
628,1,0,0.0,0
311,1,0,0.0,0
831,1,0,0.0,0
321,1,0,0.0,0
627,1,0,0.0,0
444,1,0,0.0,0
