stop_reason,stops,success,yield,contraband_discoveries
27803(B) VC - MOTORCYCLE/ETC:HELMET VIO (I) 54200,46,0,0.0,0
23152(G) VC - DUI ALCOHOL AND DRUG (M) 42117,45,11,0.2444,10
245(A)(1) PC - ADW NOT FIREARM (M) 13220 | 245(A)(1) PC - ADW NOT FIREARM (M) 13220,45,10,0.2222,10
2800.2(A) VC - EVADE PO:DISREGARD SAFETY (F) 48101,45,10,0.2222,8
26311(A) VC - SERVICE BRAKES VIOLATION (I) 54314,45,4,0.0889,4
39002(A) VC - BICYCLE LIC ORDNCE VIOL (I) 54503,45,3,0.0667,3
27315(E) VC - PASNGR 16+ NO SAFETY BELT (I) 54111,45,0,0.0,0
24600(D) VC - TAILLAMP VIOL LOCATION (I) 66426,45,0,0.0,0
488/666 PC - PET THFT W/PR PT/GT BURG/ (F) 23103 | 488/666 PC - PET THFT W/PR PT/GT BURG/ (F) 23103,44,8,0.1818,8
4462.5 VC - SHO ON VEH/GIV PO FLS REG (M) 25065,44,7,0.1591,5
22500(H) VC - PARK UNLAW:DOUBLE PARKING (I) 54537,44,2,0.0455,2
22974.5 BP - FAIL TO DISPLAY LICENSE (M) 31255,44,0,0.0,0
602(D) PC - TRESPASS:SOIL REMOVAL (M) 32026,44,0,0.0,0
647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005 | 647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005 | 647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,43,5,0.1163,5
4000.4(A) VC - UNREG CA BASED VEHICLE (I) 54473,43,1,0.0233,0
415.5(A)(1) PC - FIGHT/ETC AT SCH/UNIV/ETC (M) 33028,43,0,0.0,0
11109 VC - VIOL:UNSAFE DRIVE SCH VEH (M) 31190,43,0,0.0,0
243(D) PC - BATT W/SERIOUS BODILY INJ (F) 13084,42,5,0.119,4
21208(A) VC - FAIL TO RIDE IN BIKE LANE (I) 54592,42,5,0.119,5
29800(A)(1) PC - FELON/ETC POSS/ETC F/ARM (F) 52422,41,12,0.2927,12
166(A)(4) PC - CONTEMPT:DISOBEY CRT ORDR (M) 50106 | 166(A)(4) PC - CONTEMPT:DISOBEY CRT ORDR (M) 50106,41,6,0.1463,6
23103(B) VC - RECKLESS DRIVING:PARK LOT (M) 54087,41,3,0.0732,1
215(A) PC - CARJACKING (F) 23131,41,2,0.0488,2
288(A) PC - L&L W/CHILD UNDER 14 (F) 36055,41,2,0.0488,2
368(C) PC - ELDER/DEP ADULT CRUELTY (M) 55226,41,1,0.0244,1
245(A)(2) PC - ASLT W/FIREARM ON PERSON (F) 13095 | 245(A)(2) PC - ASLT W/FIREARM ON PERSON (F) 13095,40,11,0.275,10
594(B)(1) PC - VANDALISM $400 OR MORE (M) 29142,40,8,0.2,5
246 PC - SHOOT:INHAB DWELL/VEH/ETC (F) 13106,40,3,0.075,3
21950(B) VC - PED IN XWALK STOP/ETC VEH (I) 54183,40,2,0.05,2
243(E) PC - BATTERY:SPOUSE/ETC (M) 13187 | 243(E) PC - BATTERY:SPOUSE/ETC (M) 13187,40,1,0.025,0
27153(A) VC - EXCESSIVE EXHAUST VIOL (I) 66984,40,1,0.025,1
640(C)(1) PC - FAIL PAY:PUB TRANSIT SYS (I) 66208,39,6,0.1538,6
451(B) PC - ARSON:INHABITED STRUCTURE (F) 20019,39,5,0.1282,5
148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122 | 148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122,39,3,0.0769,2
594(A)(2) PC - VANDALISM:DAMAGE PROPERTY (M) 29071,39,2,0.0513,1
401(A) PC - AID/ADVISE/ETC SUICIDE (F) 55325,39,1,0.0256,1
11378 HS - POSS CNTL SUB FOR SALE (F) 35138,38,23,0.6053,23
22435.2(B) BP - POSS SHOP/LAUNDRY CART (M) 23115,38,7,0.1842,6
23109(C) VC - ENGAGE/ABET EXHIB SPDING (I) 66350,38,2,0.0526,2
24002 VC - UNLAWFUL OPERATION OF VEH (I) 54013,38,0,0.0,0
69(A) PC - OBSTRUCT/RESIST EXEC OFCR (F) 48161,37,6,0.1622,5
21804(A) VC - FAIL YIELD TRAFIC:HWY ENT (I) 54299,37,1,0.027,1
602.5(A) PC - UNAUTH ENTRY OF DWELLING (M) 32134,37,1,0.027,1
5201(B) VC - TEMP LIC PLATE NOT RPLCED (I) 54688,37,0,0.0,0
24603(E) VC - STOPLAMPS VIOL:N/VISIBLE (I) 54518,37,0,0.0,0
21201(A) VC - OPR BIKE W/O BRAKES (I) 54626,36,5,0.1389,5
25400(B) VC - DIFFUSED LIGHT:NO RED (I) 54594,36,4,0.1111,4
4463(A)(1) VC - FORGE/ALTER VEH REG/ETC (F) 25053,36,4,0.1111,3
24252(B) VC - LAMP VOLT:85 PER REQ VOLT (I) 54515,36,4,0.1111,4
261(A)(2) PC - RAPE BY FORCE/FEAR/ETC (F) 11055,36,4,0.1111,4
21803(A) VC - FAIL TO YIELD UNTIL SAFE (I) 54506,36,2,0.0556,2
25352(A) VC - TRAFFIC SIGNAL DVC VIOL (I) 66500,36,0,0.0,0
21456.1 VC - PED FL OBY TRFC CNTRL SIG (I) 54983,35,3,0.0857,3
22507.8(A) VC - PARK IN SPACE FOR DISABLE (I) 54221,35,3,0.0857,3
1026.4(A) PC - ESCAPE MENTAL HEALTH FAC (M) 49099,35,1,0.0286,1
21970(A) VC - VEH BLOCK XWALK/SIDEWALK (I) 54529,35,1,0.0286,1
21800(B)(1) VC - FL YLD RIGHT OF WAY HWY (I) 66274,35,0,0.0,0
21310 PC - CARRY CON/DIRK OR DAGGER (F) 52564,34,17,0.5,16
451(A) PC - ARSON CAUSING GBI (F) 20018,34,7,0.2059,7
261(A)(1) PC - RAPE:VICT INCPBL OF CNSNT (F) 11054,34,2,0.0588,2
243.4(E)(1) PC - SEXUAL BATT:SEX AROUSAL (M) 11084,34,2,0.0588,1
23152(B) VC - DUI ALCOHOL/0.08 PERCENT (M) 42088,33,9,0.2727,3
NA - XX AA - COMMUNITY CARETAKING (X) 99990 | NA - XX AA - COMMUNITY CARETAKING (X) 99990 | NA - XX AA - COMMUNITY CARETAKING (X) 99990,33,3,0.0909,3
27156(B) VC - NOT EQUIPED W/SMOG DEVICE (I) 54534,33,2,0.0606,2
647C PC - OBSTRUCT MOVEMENT PUB PL (M) 53155,33,1,0.0303,1
27001(B) VC - MISUSE VEHICLE HORN (I) 66981,33,0,0.0,0
602(K) PC - TRESP INJ PROP/OBSTR BUS (M) 32138,33,0,0.0,0
245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (M) 13218,33,0,0.0,0
211 PC - ROBBERY:FIRST DEGREE (F) 12017,32,9,0.2812,9
25400(A)(1) PC - CCW IN VEHICLE (F) 52479,32,7,0.2188,7
415(1) PC - FIGHT/ETC IN PUBLIC PLACE (I) 53131 | 415(1) PC - FIGHT/ETC IN PUBLIC PLACE (I) 53131,32,3,0.0938,2
374.4(A) PC - LITER PUBLIC/PRIVATE PROP (I) 55207,32,2,0.0625,2
415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130 | 415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130,32,0,0.0,0
22514 VC - PARK/ETC BY FIRE HYDRANT (I) 54346,31,4,0.129,4
24407(A) VC - HIGHBEAM PROJECT 350 FEET (I) 54544,31,1,0.0323,1
21804(B) VC - FAIL YEILD RIGHT-OF-WAY (I) 54578,31,0,0.0,0
602.8(A) PC - TRESPASS POSTED LAND 3+ (M) 32146,30,2,0.0667,2
1551(A) PC - FUGITIVE FRM JUST:WAR ARR (F) 49059,30,2,0.0667,2
24406 VC - LIGHT DIMMER SWITCH VIOL (I) 54399,30,2,0.0667,2
21700 VC - OBST DRIVER VIEW/CONTROL (I) 54552,30,0,0.0,0
11173(C) HS - REP AS DR/ETC:GET C/SUB (F) 35150,30,0,0.0,0
23152(A) VC - DUI ALCOHOL (M) 42104 | 23152(A) VC - DUI ALCOHOL (M) 42104 | 23152(A) VC - DUI ALCOHOL (M) 42104,29,10,0.3448,4
23223(B) VC - PASSENGER:W/OPEN ALC CONT (I) 54582,29,8,0.2759,8
25850(A) PC - CRRY LOAD F/ARM:PUB:S/CIR (F) 52624,29,7,0.2414,6
484(A) PC - PETTY THEFT:$50- (I) 23160,29,5,0.1724,5
25850(A) PC - CRRY LOAD F/ARM PUB PLACE (M) 52436,29,5,0.1724,5
246.3(A) PC - WIL DISCH F/ARM W/GRS NEG (F) 52387,29,4,0.1379,4
14 4310 CA - CA REG:LITTERING A UNIT (M) 62159,29,3,0.1034,3
242 PC - BAT AGAINST PEACE OFFICER (F) 13184,29,1,0.0345,0
22406(B) VC - EXCESS SPEED WHILE TOWING (I) 54616,29,0,0.0,0
24255(A) VC - INFRARED LIGHT EQUIP VIOL (I) 66409,29,0,0.0,0
166(A)(1) PC - CNTMPT:CRT:DISRD/ETC BEHV (M) 50103,29,0,0.0,0
22502(A) VC - PARALLEL PARKING VIOL (I) 66954,28,8,0.2857,8
496(A) PC - REC KNWN STOLN PROP (M) 28024,28,5,0.1786,5
26453 VC - BRAKE SYS CONDITION VIOL (I) 66976,28,0,0.0,0
27302 VC - VIOL SEATBELT CHP STAND (I) 66597,28,0,0.0,0
22109 VC - SUDDEN STOP:W/O SIGNALING (I) 54426,28,0,0.0,0
459 PC - BURGLARY (F) 22004 | 459 PC - BURGLARY (F) 22004 | 459 PC - BURGLARY (F) 22004,27,9,0.3333,8
20002(A) VC - HIT AND RUN:PROP DAMAGE (M) 54038 | 20002(A) VC - HIT AND RUN:PROP DAMAGE (M) 54038,27,3,0.1111,2
602(H)(1) PC - TRESP POSTD LAND/INJ ANML (M) 32137,27,2,0.0741,2
21800(C) VC - FL YLD RIGHT OF WAY RIGHT (I) 66275,27,0,0.0,0
21756(A) VC - UNSAFE PASSING STREETCAR (I) 66266,27,0,0.0,0
242 PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13173,27,0,0.0,0
00IN CUSTODY ARR ZZ - IN CUSTODY ARREST (X) 3 | 00IN CUSTODY ARR ZZ - IN CUSTODY ARREST (X) 3,26,7,0.2692,2
22651.7(B) VC - UNAUTH IMMOBILZ VEHICLE (I) 66339,26,4,0.1538,0
21207.5(A) VC - ILL OPR MOTORIZED BICYCLE (I) 54946,26,4,0.1538,4
11362.3(A)(4) HS - POSS MARIJ DRIVE/RIDE VEH (I) 35454,26,2,0.0769,2
40001(B)(1) VC - OPR W/O REG/FEES NOT PD (I) 66903,26,2,0.0769,2
368(B)(1) PC - CAUSE INJ ELDER/DEP ADULT (F) 55321 | 368(B)(1) PC - CAUSE INJ ELDER/DEP ADULT (F) 55321,26,1,0.0385,1
25109 VC - FRONT RUNNING LAMPS VIOL (I) 54443,26,1,0.0385,1
5201.1(B) VC - OPR VEH OBSCURED LIC PLT (I) 54790,26,0,0.0,0
381B PC - POSSESS NITROUS OXIDE (M) 35235,25,9,0.36,9
417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136 | 417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136 | 417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136,25,8,0.32,7
459 PC - BURGLARY:FIRST DEGREE (F) 22021 | 459 PC - BURGLARY:FIRST DEGREE (F) 22021,25,6,0.24,6
368(B)(1) PC - CAUSE INJ ELDER/DEP ADULT (M) 55322,25,2,0.08,1
314.1 PC - INDECENT EXPOSURE (F) 36279,25,1,0.04,1
24600(C) VC - TAILLAMP VIOL COMBO (I) 66425,25,0,0.0,0
25400(A)(2) PC - CCW ON PERSON (M) 52476,24,5,0.2083,5
22435.2(F) BP - POSS CARTS:SPEC CIRC (M) 23136,24,1,0.0417,1
22103 VC - UNLAWFL UTURN:RESIDENTIAL (I) 54344,24,1,0.0417,1
5 100013(K) CA - CA REG:URINAT/DEF UNV PRP (M) 66174,24,1,0.0417,1
Moving Violation,24,1,0.0417,1
22504(A) VC - STOP/PARK ON ROADWAY (I) 54475,24,0,0.0,0
26709(A)(2) VC - VEH SIDE MIRROR VIOL (I) 66567,24,0,0.0,0
10851(A) VC - VEHICLE THEFT (F) 24054 | 10851(A) VC - VEHICLE THEFT (F) 24054 | 10851(A) VC - VEHICLE THEFT (F) 24054,23,7,0.3043,7
417(A)(2)(B) PC - EXHBT F/ARM THRTNG MANNER (M) 52687 | 417(A)(2)(B) PC - EXHBT F/ARM THRTNG MANNER (M) 52687,23,6,0.2609,6
29805(B) PC - POSS OF FIREARM W/MISD (F) 52670,23,5,0.2174,5
490.5(A) PC - PETTY THEFT RETAIL/ETC (M) 23105,23,5,0.2174,5
241/243 PC - ASLT/BATT PEACE OFR/ETC (M) 13077,23,3,0.1304,1
104559.5(B)(1) HS - VIOL TOBACCO RETAILER REG (I) 55327,23,2,0.087,2
21201(C) VC - OPR UNSAFE BIKE ON HWY (I) 54943,23,2,0.087,2
21462 VC - ALL TRAF/ETC OBEY SIGNALS (I) 54476,23,1,0.0435,1
587C PC - EVADE RAILROAD FARE (M) 26040,23,1,0.0435,1
602(T)(1) PC - TRESP FEL REF LV PRVT PRP (M) 32144,23,0,0.0,0
27150(B) VC - INADEQUATE MUFFLERS (I) 66576,23,0,0.0,0
245(A)(1) PC - ADW NOT FIREARM (F) 13219 | 245(A)(1) PC - ADW NOT FIREARM (F) 13219 | 245(A)(1) PC - ADW NOT FIREARM (F) 13219,22,7,0.3182,7
21720 VC - POCKET BIKES PROHIB AREA (I) 54613,22,4,0.1818,0
459 PC - BURGLARY:SECOND DEGREE (F) 22022,22,1,0.0455,1
647(I) PC - PEEK INHAB BLDG W/LOITRNG (M) 57086,22,1,0.0455,1
314.1 PC - INDECENT EXPOSURE W/PRIOR (F) 36056,22,1,0.0455,1
415(3) PC - OFFENSIVE WORDS:PUBLIC PL (M) 53074,22,1,0.0455,1
647(A) PC - SOLICIT LEWD ACT IN PUBLC (M) 36328,22,1,0.0455,1
602 WI - FAIL OBEY ORDER JUV COURT (X) 8008,22,0,0.0,0
21210 VC - BIKE PARKING OR IMPEDE (I) 66939,22,0,0.0,0
647E(A) PC - OPEN ALC BEV POSTED PREM (I) 41065,22,0,0.0,0
21802(B) VC - YIELD TO VEH CROSS INTER (I) 66277,21,0,0.0,0
21212(A) VC - FAIL WEAR HELMET:BIKE:-18 (I) 54302,21,0,0.0,0
2800(A) VC - FAIL OBEY PO:LAWFUL ORDER (M) 48135,21,0,0.0,0
243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174 | 243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174 | 243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174,21,0,0.0,0
330 PC - GAMBLING (M) 39012,20,4,0.2,4
597(A) PC - INT CRUELTY TO ANML/KILL (M) 34136,20,3,0.15,1
21718(A) VC - STOP/PARK VEH ON FREEWAY (I) 54517,20,2,0.1,1
459 PC - BURGLARY:SECOND DEGREE (M) 22133,20,2,0.1,2
24800 VC - DRIVE W/PARK LIGHTS ONLY (I) 54347,20,1,0.05,1
594(B)(2)(A) PC - VANDALISM -$400 (M) 29144 | 594(B)(2)(A) PC - VANDALISM -$400 (M) 29144,20,1,0.05,1
23112(A) VC - TOSS/ETC MATTER:HWY/ETC (I) 66962,20,1,0.05,1
634 PC - INVADE PRIVACY:TRESPASS (M) 57055,20,1,0.05,1
273.5(F)(1) PC - CORP INJ SPOUSE/ETC W/PR (F) 38101,20,0,0.0,0
35408 VC - FRONT BUMPER VIOLATION (I) 66824,20,0,0.0,0
25106(B) VC - LAMP REQUIREMENT VIOLATIO (I) 54604,20,0,0.0,0
22972 BP - FAIL DISPLAY REQ LICENSE (M) 41068,20,0,0.0,0
11350(A) HS - POSSESS NARCOTIC CNTL SUB (M) 35422 | 11350(A) HS - POSSESS NARCOTIC CNTL SUB (M) 35422,19,13,0.6842,13
11364.5(A) HS - SELL/ETC DRUG PARAPH:-18 (M) 35309,19,6,0.3158,5
22500(F) VC - PARKING VIOL PRTN SIDEWLK (I) 66307,19,1,0.0526,1
2818 VC - CROSS FLARE/CONE PATTERN (I) 54329,19,1,0.0526,1
602(E) PC - TRSPAS:REMOV SOIL PUB PRP (M) 32027,19,0,0.0,0
1370.5(A) PC - ESC:MENTAL HEALTH FACILTY (M) 49081,19,0,0.0,0
498(B)(1) PC - THEFT UTIL SRVS DIVERTS (M) 23253,19,0,0.0,0
21235(C) VC - OP MOTR SCOOTR W/O HELMET (I) 54460,19,0,0.0,0
602(S) PC - TRESPASS:REF TO LV HOTEL (M) 32108,19,0,0.0,0
11377(A) HS - POSSESS CNTL SUB (M) 35353 | 11377(A) HS - POSSESS CNTL SUB (M) 35353,18,14,0.7778,14
30474 RT - SALE/ETC UNSTAMP/ETC CIGS (M) 61026,18,10,0.5556,10
484(A) PC - THEFT OF PROP AFTER PRIOR (F) 23244 | 484(A) PC - THEFT OF PROP AFTER PRIOR (F) 23244,18,5,0.2778,5
11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143 | 11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143 | 11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143,18,4,0.2222,3
451(D) PC - ARSON:PROPERTY (F) 20036 | 451(D) PC - ARSON:PROPERTY (F) 20036,18,2,0.1111,2
20001(A) VC - HIT AND RUN:DEATH/INJURY (F) 54069,18,1,0.0556,1
Equipment Violation,18,1,0.0556,1
484(A) PC - THEFT (M) 23099 | 484(A) PC - THEFT (M) 23099,18,1,0.0556,1
26708.2 VC - UNAUTH SUN SCREEN DVC (I) 66566,18,1,0.0556,1
601(A) PC - TRESPS:RES/ETC:SBI THREAT (M) 32087,18,1,0.0556,1
24607(A) VC - REAR VEH REFLECTOR VIOL (I) 54499,18,0,0.0,0
602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139 | 602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139 | 602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139,18,0,0.0,0
24953(A) VC - TURN SIGNAL LAMP VIOL (I) 54387,18,0,0.0,0
273A PC - WILLFUL CRUELTY TO CHILD (M) 38010,18,0,0.0,0
27600 VC - SPEC VEH FENDER/ETC VIOL (I) 54214,18,0,0.0,0
30605(A) PC - ILL POSS ASSAULT WPN (F) 52510,17,12,0.7059,12
20002(B) VC - HIT&RUN RNWY VEH:PROP DAM (M) 54063,17,5,0.2941,3
36 4.30(D)(2) US - FR:OPR BIKE W/OUT LIGHT (M) 4043,17,3,0.1765,3
220(A)(1) PC - ASSAULT W/INT TO RAPE/ETC (F) 11118,17,1,0.0588,0
602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102 | 602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102 | 602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102,17,1,0.0588,1
11362.4(B) HS - SMOKE MARIJ TOBACO PROHIB (I) 35439,17,1,0.0588,1
14601(A) VC - DRIV:SUSP/ETC LIC:RECKLES (M) 54004,17,1,0.0588,1
21451(C) VC - GRN SIGNAL VIO:PEDESTRIAN (I) 54448,17,1,0.0588,1
594(A)(2) PC - VANDALISM:DAMAGE PROPERTY (F) 29072 | 594(A)(2) PC - VANDALISM:DAMAGE PROPERTY (F) 29072,17,0,0.0,0
11305(B) VC - FL RPRT ALTR ID/PLATE NUM (M) 54840,17,0,0.0,0
2913 BP - PSYCHOLOGICAL ASSIST VIOL (M) 55081,17,0,0.0,0
372 PC - PUBLIC NUISANCE (M) 55313,17,0,0.0,0
22500(G) VC - PARKING VIOL ALNG EXCAVTN (I) 66308,17,0,0.0,0
21651(B) VC - DRV WRONG HWY INJ/DTH (F) 66944,17,0,0.0,0
602(C) PC - TRESP:INJURE/ETC FREEHOLD (M) 32025,17,0,0.0,0
602(J) PC - TRESPASS:BUILD FIRES (M) 32094,17,0,0.0,0
243(B) PC - BATT PO/EMERG PRSNL/ETC (M) 13081 | 243(B) PC - BATT PO/EMERG PRSNL/ETC (M) 13081,17,0,0.0,0
415(2) PC - UNREASONABLE NOISE (M) 53073 | 415(2) PC - UNREASONABLE NOISE (M) 53073,17,0,0.0,0
459.5(A) PC - SHOPLIFTING (M) 23273 | 459.5(A) PC - SHOPLIFTING (M) 23273 | 459.5(A) PC - SHOPLIFTING (M) 23273,16,8,0.5,8
484(A) PC - PETTY THEFT (M) 23087 | 484(A) PC - PETTY THEFT (M) 23087 | 484(A) PC - PETTY THEFT (M) 23087,16,7,0.4375,6
5202(A) VC - FOREIGN LIC PLT DISP VIOL (I) 66920,16,2,0.125,2
646.9(A) PC - STALKING (F) 16012,16,2,0.125,1
21235(G) VC - OPR MOTR SCOOTER SIDEWALK (I) 54625,16,2,0.125,2
25950(B) VC - VEH LMP/ETC REAR CLR VIOL (I) 66515,16,2,0.125,2
601(A)(1) PC - TRESPASS RESDNC THRTN SBI (M) 32118 | 601(A)(1) PC - TRESPASS RESDNC THRTN SBI (M) 32118,16,2,0.125,2
243(D) PC - BATERY:SERIOUS BODILY INJ (M) 13180,16,1,0.0625,1
1460(B) SH - CHG ENCRCHMNT W/O PERMIT (M) 66134 | 1460(B) SH - CHG ENCRCHMNT W/O PERMIT (M) 66134,16,1,0.0625,1
21461.5 VC - FL PED TO OBY SIGNAL/ETC (I) 54987,16,1,0.0625,1
22658(E)(2) VC - UNLAW RMVL PARKED VEH (I) 66340,16,1,0.0625,1
24951(C) VC - TURN SIGNAL VIOLATION (I) 66449,16,0,0.0,0
12951(A) VC - DRIVE W/O VALID LICENSE (I) 54140,16,0,0.0,0
14601.2(A) VC - DRIV:SUSP/ETC LIC:DUI:VIO (M) 54108,16,0,0.0,0
415.5(A)(3) PC - OFFENSIVE WORDS UNIV/ETC (M) 33030,16,0,0.0,0
22454(A) VC - PAS/ETC SCH BUS FLASH RED (I) 54310,16,0,0.0,0
374.4(B) PC - LIT:HEALTH/SAFETY/ETC HAZ (I) 55211,16,0,0.0,0
602.1(B) PC - OBST/ETC BUSNES:PUB AGNCY (M) 32080,16,0,0.0,0
602(L)(2) PC - TRESP DMG/DEST POSTD SIGN (M) 32140,16,0,0.0,0
12500(B) VC - OPR M/CYCLE W/O PROPR LIC (I) 54113,16,0,0.0,0
14600(A) VC - FAIL NOTE DMV ADD CHG:CDL (I) 54305,16,0,0.0,0
245(C) PC - ADW NOT F/ARM:PO/FIRE:GBI (F) 13132,16,0,0.0,0
27360(A) VC - UNRSTRAINED TOT:PARNT:VEH (I) 54166,16,0,0.0,0
211 PC - ROBBERY (F) 12004 | 211 PC - ROBBERY (F) 12004 | 211 PC - ROBBERY (F) 12004,15,7,0.4667,7
417(C) PC - EXHIBIT FIREARM PRES PO (F) 52200,15,2,0.1333,2
23152(B) VC - DUI 0.08 W/PR:PER 23550VC (F) 42099,15,1,0.0667,1
21754 VC - VEH:UNLAWFUL PASS RIGHT (I) 54180,15,1,0.0667,1
647(H) PC - LOITER/ETC PRIVATE PROP (M) 32082 | 647(H) PC - LOITER/ETC PRIVATE PROP (M) 32082,15,1,0.0667,1
23125(A) VC - DRV SCHLBS USING CELL PHN (I) 66355,15,0,0.0,0
21455 VC - NON INTERSCTN SIGNAL VIOL (I) 54425,15,0,0.0,0
273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080 | 273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080 | 273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080,15,0,0.0,0
27400 VC - HEADSET/ETC VIOL:VEH/BIKE (I) 54380,15,0,0.0,0
25250 VC - ILLEGAL FLASHING LIGHTS (I) 54612,15,0,0.0,0
22500(I) VC - PARKING VIOL LD/UNLD ZONE (I) 66309,15,0,0.0,0
14 4312(E) CA - CA REG:DOG LEASH REGULATN (M) 62185,15,0,0.0,0
273.6(A) PC - VIOL CRT ORD DOM VIOLENCE (M) 50203 | 273.6(A) PC - VIOL CRT ORD DOM VIOLENCE (M) 50203 | 273.6(A) PC - VIOL CRT ORD DOM VIOLENCE (M) 50203,15,0,0.0,0
11359(B) HS - POSS MARIJUANA FOR SALE (M) 35451,14,8,0.5714,8
170 PC - OBTAIN WARRANT W/O CAUSE (M) 57004,14,6,0.4286,6
Officer witnessed commission of a crime,14,3,0.2143,3
647(D) PC - LOITR PUB TOILET LEWD ACT (M) 36329,14,2,0.1429,2
602.1(A) PC - TRESPASS OBSTR BUS OPRN (M) 32131 | 602.1(A) PC - TRESPASS OBSTR BUS OPRN (M) 32131,14,2,0.1429,2
245(A)(2) PC - ASLT W/FIREARM ON PERSON (M) 13201,14,2,0.1429,2
4457 VC - LOST/ETC DMV REG/ETC VIOL (I) 54227,14,2,0.1429,1
602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100 | 602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100 | 602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100,14,1,0.0714,1
21461.5 VC - PED FAIL OBEY TRAFIC SIGN (I) 54112,14,1,0.0714,1
21655.9(B) VC - HOV LANE W/O ISSUED DECAL (I) 54636,14,1,0.0714,0
487(C) PC - GRAND THEFT FROM PERSON (F) 23133,14,1,0.0714,1
597(A) PC - INT CRUELTY TO ANML/KILL (F) 34129,14,1,0.0714,0
22362 VC - VIOL SPD LMT SPEC WRK CRW (I) 66291,14,0,0.0,0
21801(B) VC - FAIL YIELD:TURNING VEHICL (I) 54601,14,0,0.0,0
21208(B) VC - UNSF TURN FROM BIKE LANE (I) 54947,14,0,0.0,0
38320(A) VC - LITTERBUGGING FROM VEH (M) 54231,14,0,0.0,0
40001(B)(2) VC - OPR VEH NOT EQUIPPED REQ (I) 66904,14,0,0.0,0
273.5(F)(2) PC - CORP INJ SPOUSE W/PR BATT (F) 38104,14,0,0.0,0
25612.5(C)(5) BP - LITTER CLEANED DAILY (M) 41073,14,0,0.0,0
21951 VC - OVRTAKE VEH STOPPED XWALK (I) 54603,14,0,0.0,0
498(B)(5) PC - THFT UTIL SRVS RCV BENEFT (M) 23252,13,6,0.4615,6
25400(A)(2) PC - CCW ON PERSON (F) 52475 | 25400(A)(2) PC - CCW ON PERSON (F) 52475,13,4,0.3077,3
11150 HS - WRITE UNAUTH PRESCRIPTION (M) 35100,13,3,0.2308,3
23110(A) VC - THROW SUBSTANCE AT VEH (M) 13055 | 23110(A) VC - THROW SUBSTANCE AT VEH (M) 13055,13,3,0.2308,3
273A(B) PC - CHILD ABUSE W/O GBI/DTH (M) 38094 | 273A(B) PC - CHILD ABUSE W/O GBI/DTH (M) 38094,13,2,0.1538,2
22500(E)(1) VC - PARKNG VIOL PUB/PRV DRVWY (I) 66305,13,2,0.1538,2
11365(A) HS - VISIT WHERE CNTL SUB USED (M) 35320,13,2,0.1538,2
487(A) PC - GRDTHFT:MONEY/LABOR/PROP (M) 23157,13,2,0.1538,2
38010(A) VC - OFF HWY VEH DISPLY ID PLT (I) 54580,13,1,0.0769,0
23110(B) VC - THROW SUB AT VEH:INT:GBI (F) 13054,13,1,0.0769,1
21229(B) VC - UNSAFE TURN MTRZD SCOOTER (I) 54962,13,1,0.0769,1
21460(C) VC - CROSS BRKN/SOLID WHI LINE (I) 54986,13,0,0.0,0
12500(A) VC - DRIVE W/O LICENSE (M) 54107,13,0,0.0,0
485 PC - APPROPR LOST PROP (F) 23012,13,0,0.0,0
646.9(A) PC - STALKING (M) 16005,13,0,0.0,0
273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025 | 273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025 | 273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025,13,0,0.0,0
